epoch,train_loss,train_ctc_loss,val_cer,val_wer,grad_conv_norm,grad_attn_norm,learning_rate
0,32.31807636067884,32.31807636067884,0.9221792887936324,0.9995629370629372,0.0,0.1064604669379161,0.0001
1,8.092313749092877,8.092313749092877,0.9278689176332274,0.9910037402584329,0.0,0.1413748144417957,0.0001
2,7.833223905001064,7.833223905001064,0.9126685347592162,0.9890716445763372,0.0,0.1673392877096385,0.0001
3,7.626263380790515,7.626263380790515,0.8679238857845296,0.9909166114781224,0.0,0.184725145037485,0.0001
4,7.451394804139947,7.451394804139947,0.8715423466800142,0.9833316807921154,0.0,0.1957465905093495,0.0001
5,7.2994334494263,7.2994334494263,0.840820974767784,0.9926903776508118,0.0,0.2042102005040631,0.0001
6,7.134824524562057,7.134824524562057,0.8412162464340843,0.981440516400951,0.0,0.2111214523819876,0.0001
7,6.976607952865175,6.976607952865175,0.8503477743921309,0.9770567688353852,0.0,0.2178346716481075,0.0001
8,6.813200919733573,6.813200919733573,0.8398270506346193,0.981952567481184,0.0,0.2204180277776672,0.0001
9,6.63838078182182,6.63838078182182,0.8371370317255658,0.973598610831773,0.0,0.2220862161981226,0.0001
10,6.460957114136062,6.460957114136062,0.8264351575799908,0.9758679954875212,0.0,0.2234965111894852,0.0001
11,6.27101062267117,6.27101062267117,0.8387783572820483,0.9872210485145247,0.0,0.2251272990531414,0.0001
12,6.073293163297341,6.073293163297341,0.8345146619527517,0.9793426143030488,0.0,0.2262297261383651,0.0001
13,5.86372119942037,5.86372119942037,0.822272427515731,0.9762756686224672,0.0,0.2267584009349108,0.0001
14,5.657125748433837,5.657125748433837,0.8227853214675237,0.9749998610966596,0.0,0.2269702023262897,0.0001
15,5.42934690033215,5.42934690033215,0.8273008821789724,0.9816986231931488,0.0,0.2270300776333768,0.0001
16,5.196794224673227,5.196794224673227,0.8243358331995196,0.9873710005438476,0.0,0.2276531152804149,0.0001
17,4.962296271111449,4.962296271111449,0.8157444151630021,0.9832799809175408,0.0,0.228683493526712,0.0001
18,4.708778135345554,4.708778135345554,0.8188894976611412,0.9814521088295014,0.0,0.2295856360375501,0.0001
19,4.4871236052367,4.4871236052367,0.8191914027129821,0.991915596390891,0.0,0.2299893231484326,0.0001
20,4.241773019380769,4.241773019380769,0.8333836455185524,1.0108852703649356,0.0,0.230372398760397,0.0001
21,3.991472621427385,3.991472621427385,0.8215822767809586,0.996307584958901,0.0,0.2307736619882451,0.0001
22,3.759395364749978,3.759395364749978,0.84446720875712,1.0247361639556614,0.0,0.2319346004013659,0.0001
23,3.526171788295819,3.526171788295819,0.8412346361774747,1.0349668108340353,0.0,0.2328436335269746,0.0001
24,3.28624247637042,3.28624247637042,0.8337607458959274,1.0158018815315462,0.0,0.233072017005728,0.0001
25,3.078045302370521,3.078045302370521,0.8261310120194905,1.019224349547316,0.0,0.2334987148418058,0.0001
26,2.842092507344702,2.842092507344702,0.8080007490314761,0.9775004887916648,0.0,0.2338911877329442,0.0001
27,2.631933827451709,2.631933827451709,0.8300572299605556,1.0125137206626438,0.0,0.2342928426403583,0.0001
28,2.448493312824665,2.448493312824665,0.8235655595200136,1.0272948741848258,0.0,0.2347147862311775,0.0001
29,2.261985808217868,2.261985808217868,0.8367061390946828,1.0245572166199233,0.0,0.2346880639427872,0.0001
30,2.0747495608850794,2.0747495608850794,0.8006836289074364,0.9750150887584176,0.0,0.2345422929391055,0.0001
31,1.9102732987049893,1.9102732987049893,0.8093910656629332,0.9885047993198066,0.0,0.2351012219490122,0.0001
32,1.7555485401675397,1.7555485401675397,0.826614148000941,1.026390827918248,0.0,0.2346538847480055,0.0001
33,1.6205632090741946,1.6205632090741946,0.8122727490740569,1.0058174530812087,0.0,0.2350540318789825,0.0001
34,1.4782371544362247,1.4782371544362247,0.8423984386515232,1.041610766625719,0.0,0.2347826279801295,0.0001
35,1.3518169112409602,1.3518169112409602,0.8067275346457057,0.9999605640903488,0.0,0.2340034518542963,0.0001
36,1.2388265379592545,1.2388265379592545,0.8107810600238847,1.0087237727511926,0.0,0.2342398718224531,0.0001
37,1.1311205040032726,1.1311205040032726,0.8097176442211278,1.0016599119044376,0.0,0.2339416945580753,0.0001
38,1.0395319256628086,1.0395319256628086,0.7957008401962322,0.9756769529646324,0.0,0.2331267273338549,0.0001
39,0.9446456690251688,0.9446456690251688,0.8204964353437435,1.0059358985644873,0.0,0.2321150144567594,0.0001
40,0.8770615588328126,0.8770615588328126,0.8036886734994787,0.9834161801117542,0.0,0.2311281177504575,0.0001
41,0.802273996694366,0.802273996694366,0.8196975973010987,1.01866609101956,0.0,0.2297244973020534,0.0001
42,0.7386655727185705,0.7386655727185705,0.8102422302735462,1.012033143955991,0.0,0.2273032380985932,0.0001
43,0.6754491906138057,0.6754491906138057,0.8547908505478359,1.0665906163214776,0.0,0.2248507395779654,0.0001
44,0.6251902193505869,0.6251902193505869,0.8519703050573842,1.063267086295702,0.0,0.2238271763940403,0.0001
45,0.5702768762043589,0.5702768762043589,0.8265119419004647,1.0208270331476077,0.0,0.2201755028748879,0.0001
46,0.5330944087441586,0.5330944087441586,0.787604701567865,0.9551496267554884,0.0,0.2193768153148512,0.0001
47,0.4858831934928637,0.4858831934928637,0.8190059440722782,1.000011015366877,0.0,0.2171294397621004,0.0001
48,0.4490590769844708,0.4490590769844708,0.8350089576721097,1.0328894656645855,0.0,0.2129637856316269,0.0001
49,0.4189788057633926,0.4189788057633926,0.8052371083374129,0.990763784992254,0.0,0.2108645356180056,0.0001
50,0.393381792488712,0.393381792488712,0.8451611707430992,1.027621769026582,0.0,0.2067945991441693,0.0001
51,0.3622771808792692,0.3622771808792692,0.8507864908936659,1.0486176541223466,0.0,0.2054812152002973,0.0001
52,0.3350105885477412,0.3350105885477412,0.8254600889627319,1.022443401918696,0.0,0.2037435322802874,0.0001
53,0.313969847076715,0.313969847076715,0.815605350065769,1.0167673738868996,0.0,0.2024838402053082,0.0001
